NDVI,LAI,inverted_NDVI
0.70972943,2.1560283674610656,0.70972943
0.60584164,1.623148226947362,0.60584164
0.5784943,1.5036481758085691,0.5784943
0.6584991,1.8755349294066936,0.6584991
0.6667472,1.918120910641657,0.6667472
0.6811617,1.9947938847327804,0.6811617
0.3,0.5753641449035618,0.3
0.5229466,1.2809068146017852,0.5229466
0.59763455,1.5865298162503123,0.59763455
0.6077618,1.631813256078606,0.6077618
0.6923658,2.056489205343735,0.6923658
0.8294589,3.0233424138134404,0.8294589
0.75233364,2.4235640340188813,0.75233364
0.8445408,3.1650156098070736,0.8445408
0.807614,2.8344475644609686,0.807614
0.8050202,2.813159041632211,0.8050202
0.8050202,2.813159041632211,0.8050202
0.8055065,2.817133110575339,0.8055065
0.88154143,3.5621308695858893,0.88154143
0.8993612,3.785740721353304,0.8993612
0.8899504,3.664543023576764,0.8899504
0.88927925,3.656173783971198,0.88927925
0.8817167,3.5642128205571466,0.8817167
0.8438963,3.1587516775932003,0.8438963
0.85074484,3.2263381290659168,0.85074484
0.88691765,3.626999982058878,0.88691765
0.90586025,3.8739439278244214,0.90586025
0.89541394,3.7340086301402944,0.89541394
0.88600314,3.615815995365391,0.88600314
0.90743786,3.895954608297921,0.90743786
0.86263865,3.3494323475573418,0.86263865
0.89593333,3.740739696348621,0.89593333
0.8270867,3.0019447447156336,0.8270867
0.84556276,3.1749884909333446,0.84556276
0.8808399,3.553819350443444,0.8808399
0.89809316,3.7689756815389184,0.89809316
0.3,0.5753641449035618,0.3
0.39134422,0.8351084356382185,0.3913442200000001
0.41851488,0.9193618008291399,0.41851488
0.41838193,0.9189407742604682,0.41838192999999996
0.40495795,0.8768795410258764,0.40495794999999996
0.40495148,0.8768594804188137,0.40495148
0.4105945,0.8944328811583809,0.4105944999999999
0.4933433,1.1716131331826893,0.4933433
0.4340173,0.9690728005171526,0.4340173
0.47801232,1.1172756525916672,0.47801232
0.4191377,0.9213353305901845,0.4191377
0.46908465,1.086300459638172,0.46908465000000005
0.4539438,1.0348406421205927,0.45394379999999995
0.4009639,0.8645338795760529,0.4009639
0.40659738,0.881969184137246,0.40659737999999995
0.43078426,0.9586030742661179,0.43078426
0.4552056,1.0390789587396914,0.45520559999999993
0.4552056,1.0390789587396914,0.45520559999999993
0.4438431,1.001232831066748,0.4438431
0.4438431,1.001232831066748,0.4438431
0.4950158,1.177631268218811,0.49501579999999995
0.49617526,1.1818139921517667,0.49617525999999995
0.488294,1.1535533952843144,0.48829399999999995
0.5022386,1.2038309766174278,0.5022386000000001
0.49939352,1.1934698347271773,0.49939352
0.5008275,1.1986853583504382,0.5008275
0.5246517,1.2873876155810695,0.5246517000000002
0.527016,1.2964088162388143,0.5270160000000002
0.44939944,1.019650382064819,0.44939944000000004
0.449562,1.0201917801727785,0.44956199999999996
0.4191264,0.9212995069285125,0.41912640000000007
0.42665097,0.9452973526009787,0.42665097
0.43667966,0.9777358041084495,0.43667965999999997
0.524465,1.2866769752960276,0.524465
0.4300534,0.9562438673691519,0.4300534
0.4300534,0.9562438673691519,0.4300534
0.4305392,0.9578117135023234,0.43053920000000007
0.38848165,0.8264351116539804,0.38848165000000007
0.38618034,0.8194895255604465,0.38618034000000007
0.4471332,1.0121180043566982,0.44713320000000006
0.44787863,1.014592485396922,0.44787863
0.47344488,1.101368664790222,0.47344488
0.44266468,0.9973484374101351,0.44266468
0.45677775,1.0443723219858465,0.45677775000000004
0.44744092,1.013139120666842,0.44744091999999996
0.430702,0.9583374009918886,0.430702
0.48059368,1.1263220095938355,0.4805936800000001
0.5040211,1.210349897345204,0.5040211000000001
0.5049674,1.2138193391881353,0.5049674
0.49217808,1.167431014643422,0.49217808
0.3983341,0.8564465434041217,0.39833409999999997
0.45027485,1.0225676241030932,0.45027484999999995
0.44604543,1.0085125982158352,0.44604543
0.44695625,1.0115310619793552,0.44695625
0.49587446,1.1807280228160653,0.49587445999999996
0.3630645,0.7510297552605595,0.36306450000000007
0.40634435,0.8811828017048182,0.4063443500000001
0.45095983,1.0248532426912234,0.45095983
0.45094422,1.0248011266649537,0.45094421999999995
0.65409994,1.853186946633282,0.65409994
0.7198876,2.2166441529081617,0.7198876
0.57868654,1.5044637723124166,0.57868654
0.41082352,0.8951493624041105,0.41082352000000005
0.5349951,1.3271577276011142,0.5349951
0.55064046,1.3888578432784024,0.55064046
0.75950354,2.4723277773016443,0.75950354
0.19685082,0.3176417163066418,0.19685082000000004
0.18162127,0.28225466919803355,0.18162127
0.18170975,0.28245846163308125,0.18170974999999995
0.16916373,0.25376703189472505,0.16916373
0.16829494,0.251795355984321,0.16829493999999995
0.16829494,0.251795355984321,0.16829493999999995
0.16558623,0.24566052048434364,0.16558623
0.24844094,0.4423932456201815,0.24844094
0.28256145,0.529393735745499,0.28256144999999994
0.27145362,0.5006534267495402,0.27145362
0.24355659,0.4302431025373532,0.24355659000000002
0.23007041,0.39707361652836054,0.23007041
0.2171172,0.3657246859849115,0.21711720000000007
0.21189034,0.35321265574565325,0.21189034
0.20078024,0.3268745609294676,0.20078024
0.1992513,0.3232769873315256,0.19925129999999996
0.164074,0.24224370661972291,0.164074
0.16162695,0.2367270457129645,0.16162695
0.16794664,0.25100545187823037,0.16794663999999998
0.1943831,0.3118650994965903,0.19438309999999998
0.22503538,0.38482955683104453,0.22503537999999995
0.21558525,0.36204939615770937,0.21558525
0.24108788,0.42412999151961994,0.24108787999999998
0.24699597,0.4387910927360375,0.24699597
0.23230413,0.4025296171581403,0.23230413
0.21712527,0.3657440645555729,0.21712526999999998
